movieId,title,genres,description,metadata
16,Casino (1995),Crime|Drama,"A movie about Casino. Genres: Crime, Drama.","{""Genre"": ""Crime, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
17,Sense and Sensibility (1995),Drama|Romance,"A movie about Sense and Sensibility. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
18,Four Rooms (1995),Comedy,A movie about Four Rooms. Genres: Comedy.,"{""Genre"": ""Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
19,Ace Ventura: When Nature Calls (1995),Comedy,A movie about Ace Ventura: When Nature Calls. Genres: Comedy.,"{""Genre"": ""Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"A movie about Money Train. Genres: Action, Comedy, Crime, Drama, Thriller.","{""Genre"": ""Action, Comedy, Crime, Drama, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
21,Get Shorty (1995),Comedy|Crime|Thriller,"A movie about Get Shorty. Genres: Comedy, Crime, Thriller.","{""Genre"": ""Comedy, Crime, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"A movie about Copycat. Genres: Crime, Drama, Horror, Mystery, Thriller.","{""Genre"": ""Crime, Drama, Horror, Mystery, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
23,Assassins (1995),Action|Crime|Thriller,"A movie about Assassins. Genres: Action, Crime, Thriller.","{""Genre"": ""Action, Crime, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
24,Powder (1995),Drama|Sci-Fi,"A movie about Powder. Genres: Drama, Sci-Fi.","{""Genre"": ""Drama, Sci-Fi"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
25,Leaving Las Vegas (1995),Drama|Romance,"A movie about Leaving Las Vegas. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
26,Othello (1995),Drama,A movie about Othello. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
27,Now and Then (1995),Children|Drama,"A movie about Now and Then. Genres: Children, Drama.","{""Genre"": ""Children, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
28,Persuasion (1995),Drama|Romance,"A movie about Persuasion. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"A movie about City of Lost Children, The. Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi.","{""Genre"": ""Adventure, Drama, Fantasy, Mystery, Sci-Fi"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"A movie about Shanghai Triad. Genres: Crime, Drama.","{""Genre"": ""Crime, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
31,Dangerous Minds (1995),Drama,A movie about Dangerous Minds. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"A movie about Twelve Monkeys. Genres: Mystery, Sci-Fi, Thriller.","{""Genre"": ""Mystery, Sci-Fi, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
33,Wings of Courage (1995),Adventure|Romance|IMAX,"A movie about Wings of Courage. Genres: Adventure, Romance, IMAX.","{""Genre"": ""Adventure, Romance, IMAX"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
34,Babe (1995),Children|Drama,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.","{""Title"": ""Babe"", ""Description"": ""Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."", ""Genre"": ""Fantasy, Drama, Comedy, Family"", ""Year"": ""1995"", ""Director"": ""Chris Noonan"", ""Runtime"": 92, ""Language"": ""en"", ""Poster"": ""https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg""}"
35,Carrington (1995),Drama|Romance,"A movie about Carrington. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
36,Dead Man Walking (1995),Crime|Drama,"A movie about Dead Man Walking. Genres: Crime, Drama.","{""Genre"": ""Crime, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
37,Across the Sea of Time (1995),Documentary|IMAX,"A movie about Across the Sea of Time. Genres: Documentary, IMAX.","{""Genre"": ""Documentary, IMAX"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
38,It Takes Two (1995),Children|Comedy,"A movie about It Takes Two. Genres: Children, Comedy.","{""Genre"": ""Children, Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
39,Clueless (1995),Comedy|Romance,"A movie about Clueless. Genres: Comedy, Romance.","{""Genre"": ""Comedy, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
40,"Cry, the Beloved Country (1995)",Drama,"A movie about Cry, the Beloved Country. Genres: Drama.","{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
41,Richard III (1995),Drama|War,"A movie about Richard III. Genres: Drama, War.","{""Genre"": ""Drama, War"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
42,Dead Presidents (1995),Action|Crime|Drama,"A movie about Dead Presidents. Genres: Action, Crime, Drama.","{""Genre"": ""Action, Crime, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
43,Restoration (1995),Drama,A movie about Restoration. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"A movie about Mortal Kombat. Genres: Action, Adventure, Fantasy.","{""Genre"": ""Action, Adventure, Fantasy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
45,To Die For (1995),Comedy|Drama|Thriller,"A movie about To Die For. Genres: Comedy, Drama, Thriller.","{""Genre"": ""Comedy, Drama, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
46,How to Make an American Quilt (1995),Drama|Romance,"A movie about How to Make an American Quilt. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"A movie about Seven. Genres: Mystery, Thriller.","{""Genre"": ""Mystery, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"A movie about Pocahontas. Genres: Animation, Children, Drama, Musical, Romance.","{""Genre"": ""Animation, Children, Drama, Musical, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
49,When Night Is Falling (1995),Drama|Romance,"A movie about When Night Is Falling. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","{""Title"": ""The Usual Suspects"", ""Description"": ""Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor \u2013 leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."", ""Genre"": ""Drama, Crime, Thriller"", ""Year"": ""1995"", ""Director"": ""Bryan Singer"", ""Runtime"": 106, ""Language"": ""en"", ""Poster"": ""https://image.tmdb.org/t/p/w500/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg""}"
51,Guardian Angel (1994),Action|Drama|Thriller,"A movie about Guardian Angel. Genres: Action, Drama, Thriller.","{""Genre"": ""Action, Drama, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"A movie about Mighty Aphrodite. Genres: Comedy, Drama, Romance.","{""Genre"": ""Comedy, Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
53,Lamerica (1994),Adventure|Drama,"A movie about Lamerica. Genres: Adventure, Drama.","{""Genre"": ""Adventure, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
54,"Big Green, The (1995)",Children|Comedy,"A movie about Big Green, The. Genres: Children, Comedy.","{""Genre"": ""Children, Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
55,Georgia (1995),Drama,A movie about Georgia. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,"A movie about Kids of the Round Table. Genres: Adventure, Children, Comedy, Fantasy.","{""Genre"": ""Adventure, Children, Comedy, Fantasy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
57,Home for the Holidays (1995),Drama,A movie about Home for the Holidays. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"A movie about Postman, The. Genres: Comedy, Drama, Romance.","{""Genre"": ""Comedy, Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"A movie about Confessional, The. Genres: Drama, Mystery.","{""Genre"": ""Drama, Mystery"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"A movie about Indian in the Cupboard, The. Genres: Adventure, Children, Fantasy.","{""Genre"": ""Adventure, Children, Fantasy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
61,Eye for an Eye (1996),Drama|Thriller,"A movie about Eye for an Eye. Genres: Drama, Thriller.","{""Genre"": ""Drama, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
62,Mr. Holland's Opus (1995),Drama,A movie about Mr. Holland's Opus. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"A movie about Don't Be a Menace to South Central While Drinking Your Juice in the Hood. Genres: Comedy, Crime.","{""Genre"": ""Comedy, Crime"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
64,Two if by Sea (1996),Comedy|Romance,"A movie about Two if by Sea. Genres: Comedy, Romance.","{""Genre"": ""Comedy, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
65,Bio-Dome (1996),Comedy,A movie about Bio-Dome. Genres: Comedy.,"{""Genre"": ""Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"A movie about Lawnmower Man 2: Beyond Cyberspace. Genres: Action, Sci-Fi, Thriller.","{""Genre"": ""Action, Sci-Fi, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
67,Two Bits (1995),Drama,A movie about Two Bits. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"A movie about French Twist. Genres: Comedy, Romance.","{""Genre"": ""Comedy, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
69,Friday (1995),Comedy,A movie about Friday. Genres: Comedy.,"{""Genre"": ""Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"A movie about From Dusk Till Dawn. Genres: Action, Comedy, Horror, Thriller.","{""Genre"": ""Action, Comedy, Horror, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
71,Fair Game (1995),Action,A movie about Fair Game. Genres: Action.,"{""Genre"": ""Action"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
72,Kicking and Screaming (1995),Comedy|Drama,"A movie about Kicking and Screaming. Genres: Comedy, Drama.","{""Genre"": ""Comedy, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
73,"Misérables, Les (1995)",Drama|War,"A movie about Misérables, Les. Genres: Drama, War.","{""Genre"": ""Drama, War"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
74,Bed of Roses (1996),Drama|Romance,"A movie about Bed of Roses. Genres: Drama, Romance.","{""Genre"": ""Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
75,Big Bully (1996),Comedy|Drama,"A movie about Big Bully. Genres: Comedy, Drama.","{""Genre"": ""Comedy, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
76,Screamers (1995),Action|Sci-Fi|Thriller,"A movie about Screamers. Genres: Action, Sci-Fi, Thriller.","{""Genre"": ""Action, Sci-Fi, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
77,Nico Icon (1995),Documentary,A movie about Nico Icon. Genres: Documentary.,"{""Genre"": ""Documentary"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"A movie about Crossing Guard, The. Genres: Action, Crime, Drama, Thriller.","{""Genre"": ""Action, Crime, Drama, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
79,"Juror, The (1996)",Drama|Thriller,"A movie about Juror, The. Genres: Drama, Thriller.","{""Genre"": ""Drama, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"A movie about White Balloon, The. Genres: Children, Drama.","{""Genre"": ""Children, Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"A movie about Things to Do in Denver When You're Dead. Genres: Crime, Drama, Romance.","{""Genre"": ""Crime, Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
